item_id,family_id,name,brand,category,location,quantity,unit,status,expiration,expiration_source,added_via,confidence,source_ref,notes
i001,gray-austin,Barilla Rotini,Barilla,pasta-grains,pantry-cabinet,1,box,plenty,,estimated,photo_scan,high,photo-2026-07-12-pantry,1 lb box
i002,gray-austin,Reggano Rotini,Reggano,pasta-grains,pantry-cabinet,1,box,plenty,,estimated,photo_scan,high,photo-2026-07-12-pantry,ALDI brand
i003,gray-austin,Reggano Angel Hair Pasta,Reggano,pasta-grains,pantry-cabinet,2,box,plenty,,estimated,photo_scan,medium,photo-2026-07-12-pantry,Multiple blue Reggano boxes stacked
i004,gray-austin,Reggano Oven Ready Lasagna,Reggano,pasta-grains,pantry-cabinet,1,box,plenty,2029-07,label,photo_scan,high,photo-2026-07-12-pantry,Date code Feb 07 29 visible on box
i005,gray-austin,Maruchan Ramen Beef,Maruchan,pasta-grains,pantry-cabinet,3,count,plenty,,estimated,photo_scan,high,photo-2026-07-12-pantry,Instant ramen packs
i006,gray-austin,Express Mac Cups,Cheese Club,pasta-grains,pantry-cabinet,4,count,plenty,,estimated,photo_scan,medium,photo-2026-07-12-pantry,Microwave mac & cheese cups
i007,gray-austin,Smoked Gouda Macaroni & Cheese,Specially Selected,pasta-grains,pantry-cabinet,2,box,plenty,2027-03,label,photo_scan,high,photo-2026-07-12-pantry,Date code MAR 03 27 visible
i008,gray-austin,Brown Sugar,,baking,pantry-cabinet,1,bag,plenty,,estimated,photo_scan,high,photo-2026-07-12-pantry,Opened bag
i009,gray-austin,Baking Powder,Just About Foods,baking,pantry-cabinet,1,bag,plenty,,estimated,photo_scan,high,photo-2026-07-12-pantry,8.1 oz no added aluminum
i010,gray-austin,Cherry Pie Filling,,baking,pantry-cabinet,1,can,plenty,,estimated,photo_scan,high,photo-2026-07-12-pantry,
i011,gray-austin,Seasoning & Mix Packets,,baking,pantry-cabinet,1,bag,plenty,,unknown,photo_scan,low,photo-2026-07-12-pantry,Clear bin: meatloaf mix / onion soup / assorted packets — needs manual review
